セットID,セット名,ブランド名,モデル年,参考価格,対象ユーザー層,セットの特徴・コンセプト,推奨度,クラブ種別,クラブ名,ロフト角,シャフト名・素材,フレックス,長さ,ライ角,クラブ重量,ヘッド素材,シャフト重量,グリップ名,単品価格,ブランドロゴ画像ファイル名,発売日,公式商品ページURL,商品画像URL,備考
,,Titleist,,,,,,ドライバー,,,"ピックアップメーカー


テーラーメイド
キャロウェイ
ダンロップ
ミズノ
ピン



2025年最新モデル



評価・レビューする



スペック検索



トップページ",,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,,,,,,,,,,,titleist.svg,,,,
,すべてのクラブ種類,Titleist,,,,,,ドライバー,すべてのクラブ種類,,"すべてのメーカー
GTDゴルフ
Jazz Golf
jBEAM
RODDIO
S-YARD
SYB（サイブ／コンセプト）
T.P.Mills
TMJ
YES!Golf
アキラプロダクツ
イオンスポーツ
ウイットラム
ウイルソン
ウィンバード
エナ
エポン
オデッセイ
カタナ
カムイ
キャスコ
キャロウェイ
グランプリ
クリーブランド
クルーズ
クレイジー
グローブライド（旧ダイワ）
ゲージデザイン
コブラ
サソーグラインド
ジオテック
ジャスティック
スコッティ・キャメロン
タイトリスト
ダンロップ
つるやゴルフ
テーラーメイド
ナイキ
ネバーコンプロマイズ
パワービルト
ピン
フォーティーン
フォレスタ
ブリヂストン
プロギア
ベティナルディ
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ
すべてのメーカー",,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,,ユーザーが参加するゴルフクラブの評価・レビューサイト,,,,,,,,,titleist.svg,,,,
,タイトリスト,Titleist,2025,,,,,ドライバー,タイトリスト,ドライバー,タイトリスト,ドライバー,スペックを見る »,SLEルール： 適合,このクラブの価格はこちら »,,1W,,,titleist.svg,2025年04月,https://golfnavi.infohttps://golfnavi.info?p=23360,,
,タイトリスト,Titleist,,,,,,ドライバー,タイトリスト,SLEルール： 適合,ドライバー,SLEルール： 適合,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,発売時期：2025年04月,"GT280 Mini ドライバー





発売時期：2025年04月

スペックを見る »



このクラブの価格はこちら »",発売時期：2025年04月,,スペックを見る »,,,,,,titleist.svg,,,,
,発売時期：2025年04月,Titleist,2025,,,,,ドライバー,発売時期：2025年04月,,スペックを見る »,,,,,,,,,titleist.svg,2025年04月,,,
,このクラブの価格はこちら »,Titleist,,,,,,ドライバー,このクラブの価格はこちら »,,,,,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/price/23360,,
,TOUR AD DI 6,Titleist,,,,,,ドライバー,TOUR AD DI 6,13,S,13,-,56,65,,3.3,,,titleist.svg,,,,
,タイトリスト,Titleist,2025,,,,,ドライバー,タイトリスト,ドライバー,タイトリスト,ドライバー,スペックを見る »,SLEルール： 適合,このクラブの価格はこちら »,,1W,,,titleist.svg,2025年02月,https://golfnavi.infohttps://golfnavi.info?p=23033,,
,タイトリスト,Titleist,,,,,,ドライバー,タイトリスト,SLEルール： 適合,ドライバー,SLEルール： 適合,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,発売時期：2025年02月,"GT1 ドライバー





発売時期：2025年02月

スペックを見る »



このクラブの価格はこちら »",発売時期：2025年02月,,スペックを見る »,,,,,,titleist.svg,,,,
,発売時期：2025年02月,Titleist,2025,,,,,ドライバー,発売時期：2025年02月,,スペックを見る »,,,,,,,,,titleist.svg,2025年02月,,,
,このクラブの価格はこちら »,Titleist,,,,,,ドライバー,このクラブの価格はこちら »,,,,,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/price/23033,,
,S,Titleist,,,,,,ドライバー,S,58.5,9,58.5,50.5,-,7,,-,,,titleist.svg,,,,
,R2,Titleist,,,,,,ドライバー,R2,58.5,9,58.5,48.5,-,8,,-,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,R,Fujikura AIR SPEEDER Next Gen 40,R,45.5,10,-,,49.5,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58.5,10,58.5,50.5,-,7,,-,,,titleist.svg,,,,
,R2,Titleist,,,,,,ドライバー,R2,58.5,10,58.5,48.5,-,8,,-,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,R,Fujikura AIR SPEEDER Next Gen 40,R,45.5,12,-,,49.5,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,-,12,-,50.5,-,7,,-,,,titleist.svg,,,,
,R2,Titleist,,,,,,ドライバー,R2,-,12,-,48.5,-,8,,-,,,titleist.svg,,,,
,タイトリスト,Titleist,2024,,,,,ドライバー,タイトリスト,ドライバー,タイトリスト,ドライバー,スペックを見る »,SLEルール： 適合,このクラブの価格はこちら »,,1W,,,titleist.svg,2024年08月,https://golfnavi.infohttps://golfnavi.info?p=22554,,
,タイトリスト,Titleist,,,,,,ドライバー,タイトリスト,SLEルール： 適合,ドライバー,SLEルール： 適合,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,発売時期：2024年08月,"GT2 ドライバー





発売時期：2024年08月

スペックを見る »



このクラブの価格はこちら »",発売時期：2024年08月,,スペックを見る »,,,,,,titleist.svg,,,,
,発売時期：2024年08月,Titleist,2024,,,,,ドライバー,発売時期：2024年08月,,スペックを見る »,,,,,,,,,titleist.svg,2024年08月,,,
,このクラブの価格はこちら »,Titleist,,,,,,ドライバー,このクラブの価格はこちら »,,,,,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/price/22554,,
,Project X DENALI Red 40,Titleist,,,,,,ドライバー,Project X DENALI Red 40,8,4.0,8,-,58.5,48,,6.2,,,titleist.svg,,,,
,Project X DENALI Red 50,Titleist,,,,,,ドライバー,Project X DENALI Red 50,8,5.5,8,-,58.5,53,,5.4,,,titleist.svg,,,,
,5.0,Titleist,,,,,,ドライバー,5.0,58.5,8,58.5,52,-,5.9,,-,,,titleist.svg,,,,
,Graphite Design Tour AD DI 5 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 5 (プレミアム シャフト オプション),8,S,8,-,58.5,57,,4.7,,,titleist.svg,,,,
,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),8,S,8,-,58.5,65,,3.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 5 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 5 (プレミアム シャフト オプション),8,S,8,-,58.5,56.5,,4.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),8,S,8,-,58.5,66.5,,3.3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,S,Mitsubishi Tensei 1K Blue 55,S,45.5,9,-,,59,,,titleist.svg,,,,
,Project X DENALI Red 40,Titleist,,,,,,ドライバー,Project X DENALI Red 40,9,4.0,9,-,58.5,48,,6.2,,,titleist.svg,,,,
,Project X DENALI Red 50,Titleist,,,,,,ドライバー,Project X DENALI Red 50,9,5.5,9,-,58.5,53,,5.4,,,titleist.svg,,,,
,5.0,Titleist,,,,,,ドライバー,5.0,58.5,9,58.5,52,-,5.9,,-,,,titleist.svg,,,,
,Graphite Design Tour AD DI 5 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 5 (プレミアム シャフト オプション),9,S,9,-,58.5,57,,4.7,,,titleist.svg,,,,
,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),9,S,9,-,58.5,65,,3.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 5 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 5 (プレミアム シャフト オプション),9,S,9,-,58.5,56.5,,4.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),9,S,9,-,58.5,66.5,,3.3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,S,Mitsubishi Tensei 1K Blue 55,S,45.5,10,-,,59,,,titleist.svg,,,,
,Project X DENALI Red 40,Titleist,,,,,,ドライバー,Project X DENALI Red 40,10,4.0,10,-,58.5,48,,6.2,,,titleist.svg,,,,
,Project X DENALI Red 50,Titleist,,,,,,ドライバー,Project X DENALI Red 50,10,5.5,10,-,58.5,53,,5.4,,,titleist.svg,,,,
,5.0,Titleist,,,,,,ドライバー,5.0,58.5,10,58.5,52,-,5.9,,-,,,titleist.svg,,,,
,Graphite Design Tour AD DI 5 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 5 (プレミアム シャフト オプション),10,S,10,-,58.5,57,,4.7,,,titleist.svg,,,,
,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),10,S,10,-,58.5,65,,3.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 5 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 5 (プレミアム シャフト オプション),10,S,10,-,58.5,56.5,,4.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),10,S,10,-,58.5,66.5,,3.3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,S,Mitsubishi Tensei 1K Blue 55,S,45.5,11,-,,59,,,titleist.svg,,,,
,Project X DENALI Red 40,Titleist,,,,,,ドライバー,Project X DENALI Red 40,11,4.0,11,-,58.5,48,,6.2,,,titleist.svg,,,,
,Project X DENALI Red 50,Titleist,,,,,,ドライバー,Project X DENALI Red 50,11,5.5,11,-,58.5,53,,5.4,,,titleist.svg,,,,
,5.0,Titleist,,,,,,ドライバー,5.0,58.5,11,58.5,52,-,5.9,,-,,,titleist.svg,,,,
,Graphite Design Tour AD DI 5 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 5 (プレミアム シャフト オプション),11,S,11,-,58.5,57,,4.7,,,titleist.svg,,,,
,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),11,S,11,-,58.5,65,,3.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 5 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 5 (プレミアム シャフト オプション),11,S,11,-,58.5,56.5,,4.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),11,S,11,-,58.5,66.5,,3.3,,,titleist.svg,,,,
,タイトリスト,Titleist,2024,,,,,ドライバー,タイトリスト,ドライバー,タイトリスト,ドライバー,スペックを見る »,SLEルール： 適合,このクラブの価格はこちら »,,1W,,,titleist.svg,2024年08月,https://golfnavi.infohttps://golfnavi.info?p=22555,,
,タイトリスト,Titleist,,,,,,ドライバー,タイトリスト,SLEルール： 適合,ドライバー,SLEルール： 適合,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,発売時期：2024年08月,"GT3 ドライバー





発売時期：2024年08月

スペックを見る »



このクラブの価格はこちら »",発売時期：2024年08月,,スペックを見る »,,,,,,titleist.svg,,,,
,発売時期：2024年08月,Titleist,2024,,,,,ドライバー,発売時期：2024年08月,,スペックを見る »,,,,,,,,,titleist.svg,2024年08月,,,
,このクラブの価格はこちら »,Titleist,,,,,,ドライバー,このクラブの価格はこちら »,,,,,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/price/22555,,
,Mitsubishi Tensei 1K Blue 55,Titleist,,,,,,ドライバー,Mitsubishi Tensei 1K Blue 55,8,S,8,-,58.5,59,,4.7,,,titleist.svg,,,,
,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),8,S,8,-,58.5,65,,3.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),8,S,8,-,58.5,66.5,,3.3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,S,Mitsubishi Tensei 1K Black 65,S,45.5,9,-,,67,,,titleist.svg,,,,
,Mitsubishi Tensei 1K Blue 55,Titleist,,,,,,ドライバー,Mitsubishi Tensei 1K Blue 55,9,S,9,-,58.5,59,,4.7,,,titleist.svg,,,,
,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),9,S,9,-,58.5,65,,3.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),9,S,9,-,58.5,66.5,,3.3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,S,Mitsubishi Tensei 1K Black 65,S,45.5,10,-,,67,,,titleist.svg,,,,
,Mitsubishi Tensei 1K Blue 55,Titleist,,,,,,ドライバー,Mitsubishi Tensei 1K Blue 55,10,S,10,-,58.5,59,,4.7,,,titleist.svg,,,,
,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),10,S,10,-,58.5,65,,3.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),10,S,10,-,58.5,66.5,,3.3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,S,Mitsubishi Tensei 1K Black 65,S,45.5,11,-,,67,,,titleist.svg,,,,
,Mitsubishi Tensei 1K Blue 55,Titleist,,,,,,ドライバー,Mitsubishi Tensei 1K Blue 55,11,S,11,-,58.5,59,,4.7,,,titleist.svg,,,,
,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD DI 6 (プレミアム シャフト オプション),11,S,11,-,58.5,65,,3.3,,,titleist.svg,,,,
,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),Titleist,,,,,,ドライバー,Graphite Design Tour AD VF 6 (プレミアム シャフト オプション),11,S,11,-,58.5,66.5,,3.3,,,titleist.svg,,,,
,タイトリスト,Titleist,2024,,,,,ドライバー,タイトリスト,ドライバー,タイトリスト,ドライバー,スペックを見る »,SLEルール： 適合,このクラブの価格はこちら »,,1W,,,titleist.svg,2024年08月,https://golfnavi.infohttps://golfnavi.info?p=22556,,
,タイトリスト,Titleist,,,,,,ドライバー,タイトリスト,SLEルール： 適合,ドライバー,SLEルール： 適合,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,発売時期：2024年08月,"GT4 ドライバー





発売時期：2024年08月

スペックを見る »



このクラブの価格はこちら »",発売時期：2024年08月,,スペックを見る »,,,,,,titleist.svg,,,,
,発売時期：2024年08月,Titleist,2024,,,,,ドライバー,発売時期：2024年08月,,スペックを見る »,,,,,,,,,titleist.svg,2024年08月,,,
,このクラブの価格はこちら »,Titleist,,,,,,ドライバー,このクラブの価格はこちら »,,,,,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/price/22556,,
,1W,Titleist,,,,,,ドライバー,1W,S,Mitsubishi Tensei 1K Black 65,S,45.5,9,-,,67,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,S,Mitsubishi Tensei 1K Black 65,S,45.5,10,-,,67,,,titleist.svg,,,,
,タイトリスト,Titleist,2023,,,,,ドライバー,タイトリスト,ドライバー,タイトリスト,ドライバー,スペックを見る »,SLEルール： 適合,このクラブの価格はこちら »,,1W,,,titleist.svg,2023年02月,https://golfnavi.infohttps://golfnavi.info?p=20879,,
,タイトリスト,Titleist,,,,,,ドライバー,タイトリスト,SLEルール： 適合,ドライバー,SLEルール： 適合,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,発売時期：2023年02月,"TSR1 ドライバー





発売時期：2023年02月

スペックを見る »



このクラブの価格はこちら »",発売時期：2023年02月,,スペックを見る »,,,,,,titleist.svg,,,,
,発売時期：2023年02月,Titleist,2023,,,,,ドライバー,発売時期：2023年02月,,スペックを見る »,,,,,,,,,titleist.svg,2023年02月,,,
,このクラブの価格はこちら »,Titleist,,,,,,ドライバー,このクラブの価格はこちら »,,,,,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/price/20879,,
,SR,Titleist,,,,,,ドライバー,SR,59,9,59,47,-,5.8,,中調子,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,59,9,59,49,-,5.7,,中調子,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,R,TSP 120,R,45.75,10,269,,45,,,titleist.svg,,,,
,SR,Titleist,,,,,,ドライバー,SR,59,10,59,47,-,5.8,,中調子,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,59,10,59,49,-,5.7,,中調子,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,R,TSP 120,R,45.75,12,269,,45,,,titleist.svg,,,,
,SR,Titleist,,,,,,ドライバー,SR,59,12,59,47,-,5.8,,中調子,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,59,12,59,49,-,5.7,,中調子,,,titleist.svg,,,,
,タイトリスト,Titleist,2022,,,,,ドライバー,タイトリスト,ドライバー,タイトリスト,ドライバー,スペックを見る »,SLEルール： 適合,このクラブの価格はこちら »,,1W,,,titleist.svg,2022年09月,https://golfnavi.infohttps://golfnavi.info?p=20273,,
,タイトリスト,Titleist,,,,,,ドライバー,タイトリスト,SLEルール： 適合,ドライバー,SLEルール： 適合,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,発売時期：2022年09月,"TSR2 ドライバー





発売時期：2022年09月

スペックを見る »



このクラブの価格はこちら »",発売時期：2022年09月,,スペックを見る »,,,,,,titleist.svg,,,,
,発売時期：2022年09月,Titleist,2022,,,,,ドライバー,発売時期：2022年09月,,スペックを見る »,,,,,,,,,titleist.svg,2022年09月,,,
,このクラブの価格はこちら »,Titleist,,,,,,ドライバー,このクラブの価格はこちら »,,,,,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/price/20273,,
,S,Titleist,,,,,,ドライバー,S,58,8,58,54,-,5.5,,先中調子,,,titleist.svg,,,,
,TSP310 60 (オリジナル),Titleist,,,,,,ドライバー,TSP310 60 (オリジナル),8,S,8,312,58,59,,5.5,,,titleist.svg,,,,
,TOUR AD DI (プレミアム),Titleist,,,,,,ドライバー,TOUR AD DI (プレミアム),8,5S,8,309,58,57,,4.7,,,titleist.svg,,,,
,6S,Titleist,,,,,,ドライバー,6S,58,8,58,65,-,3.5,,中調子,,,titleist.svg,,,,
,TOUR AD IZ (プレミアム),Titleist,,,,,,ドライバー,TOUR AD IZ (プレミアム),8,5S,8,308,58,56,,4.4,,,titleist.svg,,,,
,6S,Titleist,,,,,,ドライバー,6S,58,8,58,63,-,3.2,,中調子,,,titleist.svg,,,,
,TENSEI AV BLUE 55,Titleist,,,,,,ドライバー,TENSEI AV BLUE 55,8,S,8,312,58,58,,4.9,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,SR,TSP111 50 (オリジナル),SR,45.5,9,303,,52,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58,9,58,54,-,5.5,,先中調子,,,titleist.svg,,,,
,TSP310 60 (オリジナル),Titleist,,,,,,ドライバー,TSP310 60 (オリジナル),9,S,9,312,58,59,,5.5,,,titleist.svg,,,,
,TOUR AD DI (プレミアム),Titleist,,,,,,ドライバー,TOUR AD DI (プレミアム),9,5S,9,309,58,57,,4.7,,,titleist.svg,,,,
,6S,Titleist,,,,,,ドライバー,6S,58,9,58,65,-,3.5,,中調子,,,titleist.svg,,,,
,TOUR AD IZ (プレミアム),Titleist,,,,,,ドライバー,TOUR AD IZ (プレミアム),9,5S,9,308,58,56,,4.4,,,titleist.svg,,,,
,6S,Titleist,,,,,,ドライバー,6S,58,9,58,63,-,3.2,,中調子,,,titleist.svg,,,,
,TENSEI AV BLUE 55,Titleist,,,,,,ドライバー,TENSEI AV BLUE 55,9,S,9,312,58,58,,4.9,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,SR,TSP111 50 (オリジナル),SR,45.5,10,303,,52,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58,10,58,54,-,5.5,,先中調子,,,titleist.svg,,,,
,TSP310 60 (オリジナル),Titleist,,,,,,ドライバー,TSP310 60 (オリジナル),10,S,10,312,58,59,,5.5,,,titleist.svg,,,,
,TOUR AD DI (プレミアム),Titleist,,,,,,ドライバー,TOUR AD DI (プレミアム),10,5S,10,309,58,57,,4.7,,,titleist.svg,,,,
,6S,Titleist,,,,,,ドライバー,6S,58,10,58,65,-,3.5,,中調子,,,titleist.svg,,,,
,TOUR AD IZ (プレミアム),Titleist,,,,,,ドライバー,TOUR AD IZ (プレミアム),10,5S,10,308,58,56,,4.4,,,titleist.svg,,,,
,6S,Titleist,,,,,,ドライバー,6S,58,10,58,63,-,3.2,,中調子,,,titleist.svg,,,,
,TENSEI AV BLUE 55,Titleist,,,,,,ドライバー,TENSEI AV BLUE 55,10,S,10,312,58,58,,4.9,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,SR,TSP111 50 (オリジナル),SR,45.5,11,303,,52,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58,11,58,54,-,5.5,,先中調子,,,titleist.svg,,,,
,TSP310 60 (オリジナル),Titleist,,,,,,ドライバー,TSP310 60 (オリジナル),11,S,11,312,58,59,,5.5,,,titleist.svg,,,,
,TOUR AD DI (プレミアム),Titleist,,,,,,ドライバー,TOUR AD DI (プレミアム),11,5S,11,309,58,57,,4.7,,,titleist.svg,,,,
,6S,Titleist,,,,,,ドライバー,6S,58,11,58,65,-,3.5,,中調子,,,titleist.svg,,,,
